location_id,location_name,latitude,longitude,parameter,value,timestamp_utc
8118,New Delhi,28.63576,77.22445,pm25,281.0,2023-11-06T23:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,301.0,2023-11-07T00:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,264.0,2023-11-07T01:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,259.0,2023-11-07T02:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,306.0,2023-11-07T03:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,273.0,2023-11-07T04:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,217.0,2023-11-07T06:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,193.0,2023-11-07T07:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,214.0,2023-11-07T08:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,187.0,2023-11-07T09:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,193.0,2023-11-07T10:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,221.0,2023-11-07T11:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,233.0,2023-11-07T12:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,252.0,2023-11-07T13:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,279.0,2023-11-07T14:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,298.0,2023-11-07T15:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,309.0,2023-11-07T16:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,313.0,2023-11-07T17:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,327.0,2023-11-07T18:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,310.0,2023-11-07T19:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,299.0,2023-11-07T20:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,322.0,2023-11-07T21:30:00Z
8118,New Delhi,28.63576,77.22445,pm25,328.0,2023-11-07T22:30:00Z
