latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
29.9187,75.86387,342.34,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.58,4.88,D,0
29.91937,75.82632,346.46,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,306.0,13.53,D,0
29.92287,75.82551,334.43,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,299.55,13.53,D,0
29.92322,75.70309,340.61,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,300.94,6.82,D,0
29.92343,75.89075,340.23,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.94,8.7,D,0
29.92356,75.36353,331.87,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,299.68,2.59,D,0
29.9237,75.72661,335.36,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.42,4.7,D,0
29.92404,75.40721,332.87,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,300.56,5.86,D,0
29.92589,75.1909,335.69,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,300.27,4.77,D,0
29.92721,75.72579,335.66,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,299.37,4.7,D,0
29.92865,75.69236,345.78,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,301.75,9.45,D,0
29.9307,75.62062,341.71,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,301.43,7.11,D,0
29.93237,75.37121,334.68,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,300.51,5.27,D,0
29.93472,75.64349,335.77,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,299.06,4.32,D,0
29.93592,75.37037,340.59,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,302.22,5.27,D,0
29.93625,75.12376,331.46,0.47,0.39,2023-11-01,750,N,VIIRS,n,2,300.02,2.44,D,0
29.93727,75.69982,339.03,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,299.96,3.09,D,0
29.93839,75.68535,334.22,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,302.08,6.36,D,0
29.94016,75.63271,342.52,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,300.26,3.8,D,0
29.94095,75.63728,331.89,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,299.29,2.49,D,0
29.94179,76.0162,332.44,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,300.01,3.95,D,0
29.9427,75.63347,342.78,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,299.47,4.53,D,0
29.9445,75.21125,331.99,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,299.1,2.92,D,0
29.94489,76.03388,332.06,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,299.88,2.54,D,0
29.94511,75.33892,341.04,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,300.57,4.24,D,0
29.94747,75.71635,330.39,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.27,1.11,D,0
29.94777,75.84313,334.91,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,303.8,10.68,D,0
29.94855,75.84763,341.62,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,302.62,10.68,D,0
29.9486,75.70191,333.69,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,300.95,2.93,D,0
29.94951,75.7489,335.06,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.19,3.37,D,0
29.94963,75.56988,333.37,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,298.95,2.14,D,0
29.95067,76.00494,345.42,0.43,0.38,2023-11-01,750,N,VIIRS,n,2,307.25,61.98,D,0
29.95074,75.30824,333.77,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,300.1,4.49,D,0
29.95091,75.86109,341.07,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.23,5.05,D,0
29.95099,75.37169,342.27,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,300.8,10.15,D,0
29.95203,75.35681,343.44,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,300.52,9.58,D,0
29.95303,75.50671,345.96,0.45,0.39,2023-11-01,750,N,VIIRS,n,2,299.89,8.06,D,0
29.95312,75.79039,334.95,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,299.31,3.92,D,0
29.95413,75.6972,333.2,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,300.85,2.27,D,0
29.95562,75.70027,333.73,0.44,0.39,2023-11-01,750,N,VIIRS,n,2,300.32,2.54,D,0
29.95845,75.24744,332.23,0.46,0.39,2023-11-01,750,N,VIIRS,n,2,300.46,2.42,D,0
29.95967,75.76537,337.4,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,300.59,6.03,D,0
29.9598,75.72894,334.07,0.44,0.38,2023-11-01,750,N,VIIRS,n,2,301.35,3.12,D,0
